Tên xe,Thương hiệu,Model,Năm sản xuất,Tình trạng,Số Km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Động cơ,Số chỗ ngồi,Số cửa,Dẫn động,Giá thành
 Mazda 3 1.5L Luxury - 2021,Mazda,3,2021,Xe đã dùng,48000 Km,Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.5 L,5 chỗ,4 cửa,FWD - Dẫn động cầu trước, 555 Triệu 
 Peugeot 5008 GT 1.6 AT - 2022,Peugeot,5008,2022,Xe đã dùng,39000 Km,Lắp ráp trong nước,SUV,Số tự động,Xăng  1.6 L,7 chỗ,5 cửa,FWD - Dẫn động cầu trước, 940 Triệu 
 Lexus GX 460 - 2020,Lexus,GX,2020,Xe đã dùng,29000 Km,Nhập khẩu,SUV,Số tự động,Xăng  4.6 L,7 chỗ,5 cửa,AWD - 4 bánh toàn thời gian, 5 Tỷ  
 Honda CRV 2.4 AT - 2016,Honda,CRV,2016,Xe đã dùng,150000 Km,Lắp ráp trong nước,SUV,Số tự động,Xăng  2.4 L,5 chỗ,5 cửa,FWD - Dẫn động cầu trước, 545 Triệu 
 Mitsubishi Attrage 1.2 MT - 2024,Mitsubishi,Attrage,2024,Xe mới,0,Nhập khẩu,Sedan,Số tay,Xăng  1.2 L,5 chỗ,4 cửa,FWD - Dẫn động cầu trước, 346 Triệu 
 Lexus RX 350 - 2022,Lexus,RX,2022,Xe đã dùng,30000 Km,Nhập khẩu,SUV,Số tự động,Xăng  3.5 L,5 chỗ,5 cửa,AWD - 4 bánh toàn thời gian, 3 Tỷ 699 Triệu 
 Kia Cerato 2.0 AT Premium - 2021,Kia,Cerato,2021,Xe đã dùng,50000 Km,Lắp ráp trong nước,Sedan,Số tự động,Xăng  2.0 L,5 chỗ,4 cửa,FWD - Dẫn động cầu trước, 535 Triệu 
 Mitsubishi Xpander Cross 1.5 AT - 2021,Mitsubishi,Xpander,2021,Xe đã dùng,46000 Km,Nhập khẩu,SUV,Số tự động,Xăng  1.5 L,7 chỗ,5 cửa,FWD - Dẫn động cầu trước, 585 Triệu 
 Toyota Prado GX 2.7 AT - 2004,Toyota,Prado,2004,Xe đã dùng,160000 Km,Nhập khẩu,SUV,Số tự động,Xăng  2.7 L,7 chỗ,5 cửa,4WD - Dẫn động 4 bánh, 375 Triệu 
 Ford Ranger Sport 2.0L 4x4 AT - 2024,Ford,Ranger,2024,Xe mới,0,Lắp ráp trong nước,Bán tải / Pickup,Số tự động,Dầu  2.0 L,5 chỗ,4 cửa,4WD - Dẫn động 4 bánh, 864 Triệu 
 Suzuki Swift GLX 1.2 AT - 2020,Suzuki,Swift,2020,Xe đã dùng,50000 Km,Nhập khẩu,Hatchback,Số tự động,Xăng  1.2 L,5 chỗ,5 cửa,FWD - Dẫn động cầu trước, 445 Triệu 
 Kia Seltos Premium 1.4 AT - 2021,Kia,Seltos,2021,Xe đã dùng,45000 Km,Lắp ráp trong nước,Crossover,Số tự động,Xăng  1.4 L,5 chỗ,5 cửa,FWD - Dẫn động cầu trước, 615 Triệu 
 Toyota Camry 2.5Q - 2019,Toyota,Camry,2019,Xe đã dùng,60000 Km,Nhập khẩu,Sedan,Số tự động,Xăng  2.5 L,5 chỗ,4 cửa,FWD - Dẫn động cầu trước, 885 Triệu 
 VinFast Lux SA 2.0 Premium 2.0 AT - 2019,VinFast,Lux SA 2.0,2019,Xe đã dùng,50000 Km,Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,7 chỗ,5 cửa,AWD - 4 bánh toàn thời gian, 715 Triệu 
 Mercedes Benz Maybach GLS 600 4Matic - 2021,Mercedes Benz,GLS,2021,Xe đã dùng,45000 Km,Nhập khẩu,SUV,Số tự động,Xăng  4.0 L,4 chỗ,5 cửa,AWD - 4 bánh toàn thời gian, 8 Tỷ 980 Triệu 
 Mercedes Benz GLC 300 4Matic - 2019,Mercedes Benz,GLC,2019,Xe đã dùng,80000 Km,Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,5 chỗ,5 cửa,AWD - 4 bánh toàn thời gian, 1 Tỷ 250 Triệu 
 Honda Civic 1.8 AT - 2007,Honda,Civic,2007,Xe đã dùng,160000 Km,Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.8 L,5 chỗ,4 cửa,FWD - Dẫn động cầu trước, 215 Triệu 
 Hyundai Accent 1.4 MT Base - 2020,Hyundai,Accent,2020,Xe đã dùng,80963 Km,Lắp ráp trong nước,Sedan,Số tay,Xăng  1.4 L,5 chỗ,4 cửa,FWD - Dẫn động cầu trước, 298 Triệu 
 Peugeot 408 GT 1.6 AT - 2023,Peugeot,408,2023,Xe đã dùng,10000 Km,Lắp ráp trong nước,Crossover,Số tự động,Xăng  1.6 L,5 chỗ,5 cửa,FWD - Dẫn động cầu trước, 1 Tỷ 150 Triệu 
 Lexus RX 350 - 2022,Lexus,RX,2022,Xe đã dùng,30000 Km,Nhập khẩu,SUV,Số tự động,Xăng  3.5 L,5 chỗ,5 cửa,AWD - 4 bánh toàn thời gian, 3 Tỷ 699 Triệu 
 Kia Cerato 2.0 AT Premium - 2021,Kia,Cerato,2021,Xe đã dùng,50000 Km,Lắp ráp trong nước,Sedan,Số tự động,Xăng  2.0 L,5 chỗ,4 cửa,FWD - Dẫn động cầu trước, 535 Triệu 
 Mitsubishi Xpander Cross 1.5 AT - 2021,Mitsubishi,Xpander,2021,Xe đã dùng,46000 Km,Nhập khẩu,SUV,Số tự động,Xăng  1.5 L,7 chỗ,5 cửa,FWD - Dẫn động cầu trước, 585 Triệu 
 Toyota Prado GX 2.7 AT - 2004,Toyota,Prado,2004,Xe đã dùng,160000 Km,Nhập khẩu,SUV,Số tự động,Xăng  2.7 L,7 chỗ,5 cửa,4WD - Dẫn động 4 bánh, 375 Triệu 
 Lexus ES 250 - 2021,Lexus,ES,2021,Xe đã dùng,30000 Km,Nhập khẩu,Sedan,Số tự động,Xăng  2.5 L,5 chỗ,4 cửa,FWD - Dẫn động cầu trước, 2 Tỷ 250 Triệu 
 MG RX5 1.5T STD - 2024,MG,5,2024,Xe mới,0,Nhập khẩu,Crossover,Số tự động,Xăng  1.5 L,5 chỗ,5 cửa,FWD - Dẫn động cầu trước, 540 Triệu 
 Toyota Corolla altis 1.8G - 2022,Toyota,Corolla altis,2022,Xe đã dùng,16000 Km,Nhập khẩu,Sedan,Số tự động,Xăng  1.8 L,5 chỗ,4 cửa,FWD - Dẫn động cầu trước, 665 Triệu 
 Toyota Yaris 1.5 AT - 2012,Toyota,Yaris,2012,Xe đã dùng,110000 Km,Nhập khẩu,Hatchback,Số tự động,Xăng  1.5 L,5 chỗ,5 cửa,FWD - Dẫn động cầu trước, 295 Triệu 
 Toyota Innova 2.0E - 2017,Toyota,Innova,2017,Xe đã dùng,101000 Km,Lắp ráp trong nước,Crossover,Số tay,Xăng  2.0 L,8 chỗ,5 cửa,RFD - Dẫn động cầu sau, 495 Triệu 
 Toyota Veloz Cross 1.5 CVT - 2022,Toyota,Veloz,2022,Xe đã dùng,20000 Km,Nhập khẩu,SUV,Số tự động,Xăng  1.5 L,7 chỗ,5 cửa,FWD - Dẫn động cầu trước, 596 Triệu 
